ID,Name,Age,Unit,TenureYears,FitnessScore,TrainingScore,PhysicalTestPass,DisciplinaryRecord,FitnessTrend,RetentionStatus
404,Agniveer-404,18,Maratha Light Infantry,3,78,73,1,0,1,1
405,Agniveer-405,21,Maratha Light Infantry,3,87,42,1,0,1,0
406,Agniveer-406,21,Artillery Regiment,2,82,76,1,0,1,1
407,Agniveer-407,19,Signals Corps,2,86,82,0,0,1,0
408,Agniveer-408,21,Gorkha Rifles,3,76,79,1,0,1,1
409,Agniveer-409,21,Artillery Regiment,3,82,65,1,1,1,0
410,Agniveer-410,19,Gorkha Rifles,2,53,94,1,0,0,0
411,Agniveer-411,20,Signals Corps,3,71,62,1,0,1,0
412,Agniveer-412,21,Maratha Light Infantry,1,51,83,1,0,1,0
413,Agniveer-413,19,Gorkha Rifles,1,59,78,1,0,1,0
414,Agniveer-414,18,Para SF,2,54,54,1,0,1,0
415,Agniveer-415,20,Para SF,4,59,95,1,0,1,1
416,Agniveer-416,18,Artillery Regiment,2,82,88,1,0,1,1
417,Agniveer-417,18,Signals Corps,2,87,43,1,0,1,0
418,Agniveer-418,19,Artillery Regiment,4,62,68,0,1,1,0
419,Agniveer-419,21,Artillery Regiment,4,80,61,0,0,1,0
420,Agniveer-420,19,Artillery Regiment,4,96,64,1,0,0,0
421,Agniveer-421,19,Para SF,1,85,52,1,0,0,0
422,Agniveer-422,19,Para SF,3,94,57,1,0,1,1
423,Agniveer-423,19,Artillery Regiment,1,73,72,1,0,0,0
424,Agniveer-424,20,Para SF,3,64,55,1,0,0,0
425,Agniveer-425,21,Signals Corps,1,78,84,1,0,0,0
426,Agniveer-426,18,Artillery Regiment,3,57,81,1,0,0,0
427,Agniveer-427,18,Para SF,1,54,83,1,0,0,0
428,Agniveer-428,21,Gorkha Rifles,4,78,41,1,0,1,0
429,Agniveer-429,18,Artillery Regiment,2,96,94,1,0,0,0
430,Agniveer-430,21,Artillery Regiment,1,53,74,1,0,1,0
431,Agniveer-431,18,Signals Corps,3,61,81,0,0,1,0
432,Agniveer-432,19,Maratha Light Infantry,4,94,73,1,0,1,1
433,Agniveer-433,18,Maratha Light Infantry,1,51,69,1,0,0,0
434,Agniveer-434,21,Signals Corps,1,76,98,1,0,1,1
435,Agniveer-435,21,Signals Corps,4,80,94,1,0,1,1
436,Agniveer-436,21,Signals Corps,1,85,52,1,0,1,0
437,Agniveer-437,21,Maratha Light Infantry,2,85,52,1,0,1,0
438,Agniveer-438,21,Signals Corps,1,75,57,1,0,1,0
439,Agniveer-439,20,Para SF,2,92,71,1,0,0,0
440,Agniveer-440,20,Artillery Regiment,2,76,71,1,0,1,1
441,Agniveer-441,18,Artillery Regiment,4,54,74,1,0,1,0
442,Agniveer-442,21,Gorkha Rifles,1,69,98,1,1,1,0
443,Agniveer-443,18,Gorkha Rifles,4,60,78,1,0,1,0
444,Agniveer-444,21,Artillery Regiment,1,59,85,1,0,0,0
445,Agniveer-445,21,Para SF,1,89,91,0,0,1,0
446,Agniveer-446,20,Maratha Light Infantry,3,87,68,1,0,0,0
447,Agniveer-447,20,Maratha Light Infantry,1,55,88,1,0,0,0
448,Agniveer-448,19,Para SF,4,57,68,1,1,0,0
449,Agniveer-449,20,Maratha Light Infantry,2,72,92,1,1,0,0
450,Agniveer-450,19,Signals Corps,1,96,83,1,0,1,1
451,Agniveer-451,19,Artillery Regiment,3,75,96,0,0,0,0
452,Agniveer-452,19,Artillery Regiment,4,95,55,1,0,0,0
453,Agniveer-453,19,Para SF,1,92,95,1,0,1,1
454,Agniveer-454,19,Maratha Light Infantry,4,61,83,1,0,1,1
455,Agniveer-455,18,Gorkha Rifles,3,75,86,1,0,1,1
456,Agniveer-456,20,Gorkha Rifles,3,62,96,1,0,1,1
457,Agniveer-457,19,Maratha Light Infantry,4,89,49,1,1,1,0
458,Agniveer-458,21,Gorkha Rifles,1,67,69,1,0,0,0
459,Agniveer-459,20,Para SF,2,74,64,1,0,0,0
460,Agniveer-460,20,Para SF,3,82,78,0,0,1,0
461,Agniveer-461,19,Maratha Light Infantry,1,96,59,1,0,0,0
462,Agniveer-462,18,Gorkha Rifles,1,89,44,1,0,1,0
463,Agniveer-463,19,Para SF,2,92,40,1,0,0,0
464,Agniveer-464,18,Para SF,3,61,69,0,0,0,0
465,Agniveer-465,21,Signals Corps,3,93,88,0,0,1,0
466,Agniveer-466,20,Signals Corps,1,85,42,1,0,1,0
467,Agniveer-467,21,Para SF,1,97,84,1,0,1,1
468,Agniveer-468,18,Maratha Light Infantry,2,53,53,1,0,1,0
469,Agniveer-469,18,Artillery Regiment,2,54,95,1,0,0,0
470,Agniveer-470,21,Artillery Regiment,3,86,69,1,0,0,0
471,Agniveer-471,18,Para SF,4,57,89,1,0,1,1
472,Agniveer-472,21,Para SF,3,91,43,1,0,1,0
473,Agniveer-473,20,Para SF,1,98,57,1,0,0,0
474,Agniveer-474,21,Maratha Light Infantry,3,77,76,1,0,1,1
475,Agniveer-475,20,Signals Corps,4,80,64,1,0,0,0
476,Agniveer-476,21,Para SF,2,58,87,1,0,1,1
477,Agniveer-477,18,Para SF,4,78,40,1,0,0,0
478,Agniveer-478,21,Gorkha Rifles,4,63,92,1,1,1,0
479,Agniveer-479,18,Maratha Light Infantry,4,89,85,1,0,1,1
480,Agniveer-480,21,Para SF,2,90,54,1,0,0,0
481,Agniveer-481,21,Gorkha Rifles,4,71,48,1,0,1,0
482,Agniveer-482,19,Artillery Regiment,4,60,54,1,0,1,0
483,Agniveer-483,18,Para SF,4,72,88,0,0,0,0
484,Agniveer-484,19,Para SF,1,50,96,1,0,0,0
485,Agniveer-485,18,Gorkha Rifles,4,95,63,1,0,0,0
486,Agniveer-486,19,Maratha Light Infantry,2,86,43,1,0,0,0
487,Agniveer-487,20,Para SF,4,70,51,1,0,1,0
488,Agniveer-488,21,Artillery Regiment,4,75,98,1,0,1,1
489,Agniveer-489,18,Para SF,2,95,97,1,0,1,1
490,Agniveer-490,18,Artillery Regiment,4,85,76,1,0,0,0
491,Agniveer-491,21,Signals Corps,2,72,76,1,1,0,0
492,Agniveer-492,18,Signals Corps,4,50,82,1,0,0,0
493,Agniveer-493,18,Artillery Regiment,2,89,99,1,0,1,1
494,Agniveer-494,19,Maratha Light Infantry,4,64,45,1,0,1,0
495,Agniveer-495,18,Para SF,4,70,78,1,0,0,0
496,Agniveer-496,20,Para SF,1,96,95,1,0,1,1
497,Agniveer-497,20,Signals Corps,1,58,85,0,0,1,0
498,Agniveer-498,21,Artillery Regiment,4,58,63,0,0,1,0
499,Agniveer-499,18,Para SF,4,59,50,1,0,1,0
500,Agniveer-500,21,Para SF,3,75,52,1,0,1,0
